29906,z,introbeat 1,
30122,x,introbeat up,
30376,c,introbeat up,
30595,v,introbeat up,
30781,x,introbeat up,
31023,c,introbeat up,
31268,v,introbeat up,wait 300 introbeat off
33473,z,introbeat 1,
33709,x,introbeat up,
33931,c,introbeat up,
34153,v,introbeat up,
34376,x,introbeat up,
34610,c,introbeat up,
34836,v,introbeat up,wait 300 introbeat off
37098,z,introbeat 1,
37299,x,introbeat up,
37513,c,introbeat up,
37770,v,introbeat up,
37969,x,introbeat up,
38187,c,introbeat up,
38440,v,introbeat up,wait 300 introbeat off
40625,z,introbeat 1,
40867,x,introbeat up,
41084,c,introbeat up,
41324,v,introbeat up,
41535,x,introbeat up,
41772,c,introbeat up,
42026,v,introbeat up,wait 300 introbeat off
